01FFC714    OS_IrqHandler_ThreadSwitch
020A4DA4    OS_GetLowEntropyData
020A4E74    OS_Terminate
020A4E84    OS_Halt
020A4E84    OS_Halt
020A4E90    MI_SetWramBank
020A4E90    MI_SetWramBank
020A4EA0    MI_DmaFill32
020A4F20    MI_DmaCopy32
020A4F90    MI_DmaCopy16
020A4FFC    MI_DmaFill32Async
020A50C0    MI_DmaCopy32Async
020A5158    MI_WaitDma
020A51C0    MI_StopDma
020A523C    MIi_CheckAnotherAutoDMA
020A52C0    MIi_CheckDma0SourceAddress
020A5314    MI_HBlankDmaCopy32
020A5374    MI_HBlankDmaCopy16
020A53D4    MI_SendGXCommandAsync
020A54CC    MIi_FIFOCallback
020A5578    MIi_DMACallback
020A55D8    MI_SendGXCommandAsyncFast
020A5690    MIi_DMAFastCallback
020A56BC    MIi_CpuClear16
020A56BC    MIi_CpuClear16
020A56D4    MIi_CpuCopy16
020A56D4    MIi_CpuCopy16
020A56F0    INITi_CpuClear32
020A56F0    OSi_CpuClear32
020A5704    MIi_CpuCopy32
020A5704    MIi_CpuCopy32
020A571C    MIi_CpuSend32
020A571C    MIi_CpuSend32
020A5734    MIi_CpuClearFast
020A5734    MIi_CpuClearFast
020A5780    MIi_CpuCopyFast
020A5780    MIi_CpuCopyFast
020A57B8    MI_Copy36B
020A57B8    MI_Copy36B
020A57D4    MI_Copy48B
020A57D4    MI_Copy48B
020A57F8    MI_Copy64B
020A57F8    MI_Copy64B
020A5824    MI_CpuFill8
020A5824    MI_CpuFill8
020A58B8    MI_CpuCopy8
020A58B8    MI_CpuCopy8
020A59E8    MI_Zero36B
020A5C04    MI_UncompressHuffman
020A5C04    MI_UncompressHuffman
020A5CDC    MI_UncompressRL8
020A5CDC    MI_UncompressRL8
020A5D48    MI_UncompressRL16
020A5D48    MI_UncompressRL16
020A5DB0    MIi_CardDmaCopy32
020A5E24    MI_Init
020A5E3C    SND_StopSeq
020A5E5C    SND_PrepareSeq
020A5E84    SND_StartPreparedSeq
020A5EA4    SND_PauseSeq
020A5EC4    SND_SetPlayerVolume
020A5EDC    SND_SetPlayerChannelPriority
020A5EF4    SND_SetTrackPitch
020A5F10    SND_SetTrackPan
020A5F2C    SND_SetTrackAllocatableChannel
020A5F54    SND_StartTimer
020A5F7C    SND_StopTimer
020A5FE0    SND_SetupCapture
020A6060    SND_LockChannel
020A6080    SND_UnlockChannel
020A60A0    SND_SetChannelVolume
020A60C8    SND_SetChannelPan
020A60E8    SND_SetupChannelPcm
020A6134    SND_InvalidateSeqData
020A6154    SND_InvalidateBankData
020A6174    SND_InvalidateWaveData
020A6194    SND_SetOutputSelector
020A61BC    SND_SetMasterPan
020A61DC    SND_ResetMasterPan
020A61FC    SNDi_SetPlayerParam
020A6224    SNDi_SetTrackParam
020A624C    SNDi_SetSurroundDecay
020A626C    PushCommand_impl
020A62B0    SND_Init
020A62E8    OS_WaitAnyIrq
020A62FC    OS_WaitAnyIrq
020A63E4    SND_RecvCommandReply
020A64F4    SND_AllocCommand
020A657C    SND_PushCommand
020A65B4    SND_FlushCommand
020A6770    SND_WaitForCommandProc
020A67DC    SND_GetCurrentCommandTag
